Channel Id,Channel Url,Channel Title
UC99LgIedzGD1GirhFGldfUQ,http://www.youtube.com/channel/UC99LgIedzGD1GirhFGldfUQ,EnjoyPhoenix - Marie Lopez
UCEf0-WZoqYFzLZtx43KPvag,http://www.youtube.com/channel/UCEf0-WZoqYFzLZtx43KPvag,LEARN FRENCH WITH VINCENT
UCI4xp8qHD1MDErkqxb1dPbA,http://www.youtube.com/channel/UCI4xp8qHD1MDErkqxb1dPbA,innerFrench
UCJwm0p1jddCGlLKugK0Fsbg,http://www.youtube.com/channel/UCJwm0p1jddCGlLKugK0Fsbg,French Learning Hub
UCPNDZBSSUJ0d94jQjb1u6rQ,http://www.youtube.com/channel/UCPNDZBSSUJ0d94jQjb1u6rQ,Marie
UCSdJiWi0tq9CAx1bizne6mA,http://www.youtube.com/channel/UCSdJiWi0tq9CAx1bizne6mA,Bruno Maltor
UCV5w7g9vYRBlPpQzD76E4aw,http://www.youtube.com/channel/UCV5w7g9vYRBlPpQzD76E4aw,242 Jobs
UCVzyfpNuFF4ENY8zNTIW7ug,http://www.youtube.com/channel/UCVzyfpNuFF4ENY8zNTIW7ug,Piece of French
UCbj8Qov-9b5WTU1X4y7Yt-w,http://www.youtube.com/channel/UCbj8Qov-9b5WTU1X4y7Yt-w,French mornings with Elisa
UCebE8jTSMiz4r4zA0oRdsng,http://www.youtube.com/channel/UCebE8jTSMiz4r4zA0oRdsng,Les Pépites de Cloé
UCow3NWBEvlA8xmugJ3W256g,http://www.youtube.com/channel/UCow3NWBEvlA8xmugJ3W256g,MyBetterSelf
UCu_VvYBtSDJ6xExUoeu3KUg,http://www.youtube.com/channel/UCu_VvYBtSDJ6xExUoeu3KUg,Alice Esmeralda
UCww2zZWg4Cf5xcRKG-ThmXQ,http://www.youtube.com/channel/UCww2zZWg4Cf5xcRKG-ThmXQ,NORMAN FAIT DES VIDÉOS
UCyWqModMQlbIo8274Wh_ZsQ,http://www.youtube.com/channel/UCyWqModMQlbIo8274Wh_ZsQ,Cyprien

